description,variety,country,price,points
"From the heart of the Napa Valley, this estate white is dry in floral lemon and lime, in addition to more voluptuous helpings of apricot and peach. Stainless-steel fermented, it offers crisp acidity before taking on complexity on the finish, more weighty than on the palate.",Sauvignon Blanc,US,24.0,90
"This Italian Pinot Nero from the far north of the country shows an Old World style with smooth elegance, a garnet-amber color and rustic aromas of savory spice and cured meat. There's a pretty blast of freshness, with forest berry and fresh currant notes on the finish.",Pinot Nero,Italy,30.0,90
"From perhaps the best known of Mercurey's premier crus, this is a firm solid wine, dense with tannins and concentrated berry fruits. It has a ripe character that is still embedded in the tannins. That means aging and this wine should not be drunk before 2023.",Pinot Noir,France,44.0,93
"Rich in black cherry, licorice, mocha and oak flavors, this Pinot is showing its best now. Give it a few hours of decanting and pair with steak, lamb and salmon.",Pinot Noir,US,45.0,88
"Ripe sweet tropical pineapple and guava mark this wine as does a sway of wild grass, the wine otherwise perfectly crisp and clean.",Sauvignon Blanc,US,16.0,85
"From producer Guglielmo Bortolomiol, this Brut sparkling wine shows simple lines of dry mineral, white flower and crisp lime. Pair this informal Italian sparker with grilled shrimp encrusted with sweet sesame seeds.",Glera,Italy,15.0,87
"Sweet, yes, but so light that it has no time to be cloying. This is a balanced wine: acidity playing off the honey and apricot to give a wine that will make a great apéritif. Fruity and crisp at the end, it is ready to drink.",Gros Manseng,France,16.0,88
"Very light aromas of seared nectarine, wet stone, orange peels and gardenia show on the nose of this bottling from the Tooth & Nail team. Tangerine rinds, sea salt and Gala apple flesh show on the sip.",Chardonnay,US,42.0,89
"Medium salmon-colored in the glass, this rosé has a nose of tangerine and toffee. Flavors of tangerine, butterscotch and clove maintain a nice balance between spice and fruit flavors. The mellow finish features a dash of zesty acidity and a final wash of butterscotch.",Rosé,Lebanon,20.0,88
The pure scent of freshly picked strawberries is as enticing on the nose as it is on the palate. The gentle flavors are supported by bright lemony freshness and a frothy fizzy mousse that accentuates the purity of these primary flavors perfectly. All of this spells lightness and ease. The finish is dry and full of strawberry notes.,Pinot Noir,France,22.0,89
"This is a basic but nice Chardonnay with lightly oaked aromas of pear, apple and tropical fruits. The palate is fresh and healthy, while apple, mango and peach flavors settle with a hint of bitter matchstick and leftover tropical notes.",Chardonnay,Chile,10.0,85
"This is a rich, spicy and lush-fruited rosé. Its palate-pleasing tangle of citrus, peach and light tropical fruit is fresh, forward and inviting. It spent five months in neutral oak and is ready for immediate enjoyment.",Pinot Gris,US,25.0,90
"A big, thick, massive Cabernet, impressive for sheer volume. Yet it's very tannic and dry. Deep down inside is an intense core of concentrated blackberry essence, coated in smoky new oak. This feels dramatic and important, but nowhere near ready. Give it eight years in the cellar.",Cabernet Sauvignon,US,100.0,94
"The winery sources this fruit from a vineyard near Hollister. It delivers aromas of bramble berry, espresso-dipped cherry and allspice. Cherry and chocolate power the palate, which also benefits from lifting mint, sagebrush and eucalyptus, finishing with chopped herbs.",Pinot Noir,US,58.0,93
"Lovely floral scents of violet and iris mingle with dark fruit and a whiff of exotic spice. The elegant, structured palate offers fleshy black cherry, ripe raspberry, white pepper, anise and chopped mint alongside fine-grained tannins. A hint of mocha closes the finish. It's already tempting but hold to let this unwind and fully develop. Drink 2019–2026.",Sangiovese,Italy,80.0,93
"From organically grown fruit, this is a soft, lemon- and pear-flavored wine. It has plenty of fresh acidity as well as a warm, full-in-the-mouth character. The aftertaste brings out touches of vanilla as well as the acidity.",Chardonnay,France,25.0,85
"This opens with aromas of ripe black-skinned fruit, resin, underbrush, leather, menthol and intense mint. The savory, refined palate delivers wild red cherry, crushed black raspberry, sage, clove, mint and mineral alongside velvety tannins. A licorice note signals the close. Drink through 2022.",Nebbiolo,Italy,38.0,91
"Beautifully crisp and light, this is an ebullient wine that is full of lively red currant and tangerine fruits. There is attractive acidity, a bright aftertaste and plenty of acidity. Drink now.",Rosé,France,12.0,88
"An easy-pleasing and refreshing wine with ripe aromas of pineapple and guava alongside a citrus-infused grassy note, almost like fresh hops. Lightweight in the mouth with a brisk finish reminiscent of fleshy green apple slices.",Sauvignon Blanc,South Africa,13.0,86
"Aromas arise slowly, though toasted oak, struck match and slightly sour fruits do emerge eventually. Flavors are straightforward, with scorched lemon and apple sauce.",Chardonnay,US,30.0,84
"Scents of chamomile, tropical fruit and citrus zest lead the nose on this vibrant blend of Friulano, Chardonnay and Sauvignon. The structured, savory palate offers layers of yellow peach, candied lemon drop, nut and mineral alongside bright acidity that leaves a tangy finish.",White Blend,Italy,36.0,90
"Like most Savennières, this is a dry wine. Yet it is so rich, rounded and packed with ripe tropical fruits. The texture is opulent, smooth, creamy and concentrated. It needs to age for at least fours years.",Chenin Blanc,France,38.0,91
"A blend of 75% Merlot with 25% Cabernet Franc, the wine has richness. It also has the firm dry tannins that are typical of the vintage. It is dry and solid with its black-currant fruits still developing. It needs to age further, so wait until 2018.",Bordeaux-style Red Blend,France,40.0,89
"This golden-colored wine has enticing aromas of butterscotch, vanilla, caramel and pineapple upside-down cake. In the mouth, there are great flavors of dried apricot, mango, honeycomb and marzipan candies. It has elegant heft on the palate and balanced acidity in the finish. Enjoy now or keep in your cellar for another decade or so.",White Blend,Hungary,43.0,95
"Wonderful blackberry and ripe grape flavors fill up this big but smooth new wine under country-music star Zac Brown's label. It has a very dark color, jammy aromas, rather sweet flavors and a velvety texture with enough tannin to keep it appetizing.",Red Blend,US,20.0,88
"The bouquet on this blend of Cab, Zin, Merlot and Tempranillo is fairly smooth and complex, with spice and modest heat. The palate, however, seems to be on the roasted and burnt side of the fence, with chocolate notes bringing up the rear. This is tasty but heavy, grabby and hot.",Red Blend,Mexico,58.0,87
"The rich scent of dark honey is immediately cut by the heady lift of something that recalls the Mediterranean—juniper, conifers and crushed citrus leaves. The palate is a celebration of candied citrus—orange, lemon and grapefruit. Rich and deliciously tart at the same time.",Gewürztraminer,Austria,24.0,92
"A nice array of mild toast, earth and new leather aromas lead to vivid black cherry and pomegranate flavors, a firm texture bolstered by fine-grained tannins and good underlying acidity. It's a well-balanced, smooth and complete wine.",Pinot Noir,US,55.0,91
"Light aromas of tropical fruits and acacia blossom show a note of ginger. This has a citrusy, fairly full body and flavors of lime, pineapple and mango that turn more towards citrus on the finish.",Torrontés,Argentina,15.0,88
"Clover, white pepper, and a whiff of animal make this blend of 75% Mourvèdre, 20% Syrah and 5% Grenache compelling now, but it's certainly a wine to cellar. The aromas move through a spectrum of flower, spice, fruit and animal. It already displays tremendous length and superb aging potential.",Rhône-style Red Blend,US,45.0,96
"Notions of baked Mirabelle plums lend their full-fruited aspect to nose and palate. Their softness is countered by fresh, lively crispness. This is friendly, refreshing and fruit-driven.",Pinot Blanc,France,15.0,88
"Rose, violet, toast, underbrush, menthol and perfumed berry aromas lead the way on this wine. The palate offers dried black cherry, eucalyptus, ground black pepper and dried sage alongside bracing, rather astringent tannins.",Sangiovese,Italy,65.0,88
"Bottled in a replica of a 19th-century crystal carafe, this wine is a blend of crus from the Montagne de Reims. On the dry side of brut, it has a lively sliced apple and citrus character as well as refreshing, lively acidity. The wine is ready to drink.",Pinot Noir,France,72.0,90
"The latest version of this popular blend drops the Chardonnay and adds 11% Grüner Veltliner to the Roussanne-Viognier blend. It seems to elevate the aromatics, pushing lush scents of lemon drop, pineapple, and candied orange peel forward. Those perfectly rendered citrus peel flavors put a frame around the tart fruit, and there is a hint of white pepper in the spicy finish.",White Blend,US,18.0,90
"A 60% majority of Zinfandel plays nicely with 40% Petite Sirah, blending into a happy union of big, ripe blackberry and thick tannins. Smooth on the palate, with a touch of vanilla, it highlights red and black fruit in complementary waves, staying juicy throughout.",Red Blend,US,60.0,90
"Big, juicy and smoky, this powerful wine comes from vines in the center of the vineyard. Black fruits and firm tannins dominate the richness of the wine with its dark structure and concentration. A touch of chocolate and licorice partners with the generous fruits. Drink from 2024.",Pinot Noir,France,299.0,94
"Leesy, cheesy aromas fall apart as this struggles a bit to present a clean front side. Almost dilute in feel, this tastes of cidery apple, nectarine and lees. On the finish, a hint of popcorn rises up.",Albariño,Spain,25.0,87
"This is dry, tart and a little one-dimensional, yet elegant, offering red cherry and cola flavors and a wintertime taste of Christmas persimmons. Drink now.",Pinot Noir,US,40.0,87
"Scents of mocha, ripe black raspberry, forest floor and a balsamic note waft out of the glass. The solid, straightforward palate shows juicy Morello cherry, licorice and a hint of coffee alongside robust tannins.",Nebbiolo,Italy,50.0,88
"This 100% Merlot opens with delicate aromas of black currant, tilled earth and a whiff of vanilla. The ripe palate offers black-skinned berries, pipe tobacco and hints of toast alongside assertive tannins. Drink through 2020.",Merlot,Italy,46.0,89
"This represents Torres' highest effort in Priorat, and it's a success. Perpetual deals freshly laid asphalt, cola and grilled char on the nose and then follows that up with black cherry, cassis and tobacco flavors. It's pure and ripe more than intellectual. Best 2009–2013; 60 cases produced.",Red Blend,Spain,52.0,91
"Ripe blackberry aromas are welcoming and clean. This features a flush palate that hollows out while delivering generic but fresh black-fruit flavors. A tasty, fresh finish makes this good for everyday drinking.",Malbec,Argentina,11.0,87
"A bouquet of cherry, white chocolate and juniper berry sets the stage for flavors of raspberry, blackberry, blueberry pie and baking spices. It is smooth in the mouth, with a sense of soft sweetness that is neither overpowering nor cloying, bolstered by a pervasive backbone of acidity.",Red Blend,Georgia,20.0,90
"Bricco Barone is a smokey, meaty expression of Nebbiolo with bold aromas of black fruit, prune, dried tobacco leaf and finely milled white pepper. This pretty wine ends with a masculine blast of earthy, dusty tones.",Nebbiolo,Italy,20.0,89
"Here's a flatter, perhaps more neutral expression of the fragrant Sauvignon variety that offers citrus-like zest in the mouth and tonic aromas of exotic fruit, papaya and mango. Pair this wine with appetizers or finger foods—but avoid anything with lemon because the wine already has a strong citric side.",Sauvignon,Italy,19.0,85
"At this reasonable price, this wine is a great success. It's dry, crisp in acidity and creamy in texture, with pleasant orange, pineapple and apricot flavors. What a nice restaurant wine, and easy to find, with 17,500 cases produced.",Chardonnay,US,20.0,88
"Gentle and candy ripe, this Cab has pie-filling flavors of blackberries, cherries, red plums, licorice and chocolate, accented with toasty, spicy oak, wrapped into sweet, fine tannins. Too soft for the cellar, so drink up.",Cabernet Sauvignon,US,85.0,86
"Two naturally crisp grapes come together in a sparkling wine of bright and delicious character. Its lively mousse carries its fruity, fresh citrus and apple flavor. Drink now.",Portuguese Sparkling,Portugal,12.0,88
"A success for its wealth of succulent raspberry and cherry fruit. It's an easy Pinot Noir to drink now, with brisk acidity. Try it with beef, pork or chicken tamales.",Pinot Noir,US,20.0,86
"Rubber, cured meat and herbal berry aromas feed into a tomatoey palate with raw acidity and rough tannins. This features gritty flavors of berry and raisin, while the finish is a bit flat in feel and tastes of prune and stalky, roasted berries. Unlike many Ribera wines, this is earthy and not overly ripe. Drink through 2017.",Tempranillo,Spain,42.0,88
"This red combines Merlot and Cabernet Sauvignon to create black currant and Mediterranean herb aromas. The easygoing, approachable palate shows black cherry and dark spice flavors, framed by polished tannins. Enjoy soon.",Red Blend,Italy,25.0,88
"This lively wine is crisp, fresh and deliciously fruity. It is packed with juicy, fragrant acidity and wild strawberry fruit flavors.",Rosé,France,21.0,86
"Delicate watermelon aromas and canteloupe flavors lend a bit of fruitiness to this pink-colored, light-bodied and lean-textured wine made from Grenache and Counoise.",Rosé,US,18.0,87
"Deep and dark on the nose, with licorice, cola and prune aromas. The palate is chunky and full, albeit a touch soft. Saturated flavors of cola, blackberry and chocolate define it as a rich, modern wine, and the finish is appropriately creamy and stacked with sweetness and depth. A lush blend of Garnacha, Cabernet and two indigenous varieties. Drink now through 2011.",Red Blend,Spain,20.0,90
"Tight grapefruit flavors, very perfumed and totally dry and crisp, this is a pure-fruited wine, packed with acidity, flavors of white currants and a final zesty minerality. Screwcap.",Riesling,France,14.0,88
"So light, it's almost intangible, this fresh, crisp wine has little character. Drink now.",Melon,France,10.0,83
"Borra's Fusion is 90% Viognier and 10% Gewurztraminer and the two varieties bring out nice things in each other here, the floral aromas at the wine's opening evolving into a crisp, soft, creamy center on the mid-palate, a taste of citrus and honeydew standing out.",White Blend,US,17.0,88
"Here's a soft, gently tannic wine, rich in jammy cherry, cassis, mocha, brown sugar, cinnamon spice and oak flavors. Fully drinkable now, right out of the bottle.",Cabernet Sauvignon,US,30.0,86
"This is a fresh, fruity young wine, marked by ripe, jammy blackberry, cherry, cola and cedar flavors. It's spicy and tannic and easy to drink now.",Syrah,US,28.0,86
"Tire rubber, heat and funky, oak-based spice aromas are ominous and foretelling. The palate on this Garnacha is creamy and feels sticky, while the flavors are sugary and emphasize vanilla and marshmallow over clean fruit. Flaccid on the finish, with candied flavors.",Garnacha,Spain,20.0,83
"This is Esterlina's off-dry Riesling, and it's as good in its semi-sweet way as a dry bottling. Shows the same brilliant acidity and delicious citrus, peach, wildflower and vanilla flavors, with a complex, honeyed richness.",Riesling,US,19.0,89
"There's very juicy, jammy red berry fruit here and the round, even soft palate may lack a bit of structure, but this is a flavorful, very approachable wine. Slight tobacco and cocoa notes add interest and keep it from being just fruity. Cabernet flavors in a Beaujolais-weight package.",Cabernet Sauvignon,Chile,11.0,86
"Made from vines in Tedeschi's steep Monte Olmi Vineyard, this is a structured, well-balanced Amarone, with an intense fruit-and-spice fragrance. The palate delivers black cherry, mint and nutmeg flavors, with a hint of tobacco. It has great depth, with a velvety mouthfeel supported by fresh acidity.",Red Blend,Italy,99.0,92
"This is a big, perfumed wine. It is still young, with new wood flavors, touches of eucalyptus and dense, dry tannins. To balance all this structure, the ripe and juicy berry flavors give the wine the richness it needs. Drink from 2017.",Portuguese Red,Portugal,29.0,93
"As fresh as can be, this is a bright, lively and lightly perfumed wine. It has grapefruit, apricot fruit and a touch of minerality. Drink through 2015.",Verdelho,Portugal,13.0,86
"Though found in some Chardonnays, there's a heaviness to this wine, with its orange Muscat nose and syrupy flavors, that seems out of sync here. The wine seems to flop onto the palate and sit there, without much progression. Needs more acid and a lighter touch.",Chardonnay,US,20.0,82
"A rush of zippy, fresh fruit and spice aromas recommends this white from New York, offering the kind of clean fruit flavors and minerality that makes this region unique. The wine lacks real complexity and tends toward the austere but the beguiling spice saves the day.",Chardonnay,US,18.0,84
"This easygoing red opens with aromas of black-skinned berry, baking spice and a whiff of violet. The bright shows black plum, cinnamon and a touch of white pepper alongside smooth tannins. Enjoy soon.",Sangiovese,Italy,13.0,87
"An intriguing nose of tobacco, cherry, clove and mint gives this Agiorgitiko an edge. The flavors are rich and full with spicy tobacco and fresh red berry fruit. Balanced but full of character.",Agiorgitiko,Greece,20.0,87
"This Sauvignon Blanc from Bulgaria's Thracian Valley has bright aromas of lemon grass, citrus blossom and freshly mowed lawn. It is medium bodied in the mouth, with flavors of freshly cut pineapple, guava and lemon meringue pie. The finish is clean, crisp and fruit filled.",Sauvignon Blanc,Bulgaria,13.0,90
"Stunning aromas of amazingly prominent fresh cracked black pepper, dried violets, teriyaki and bloody red meats form a memorable nose on this wine from an extremely coastal vineyard near Cambria. The palate shows roasted pork, more pepper and a boysenberry-balsamic reduction sauce.",Syrah,US,27.0,94
This opens with a gorgeous bouquet that shows elements of fresh fruit and careful oak aging. Currant and wild berry flavors are enhanced by light strokes of vanilla bean and toasted hazelnut. Impressive brightness and crispness characterizes the long finish.,Nebbiolo,Italy,40.0,91
"A touch of volatility accompanies opening black fruit and plum aromas, while the palate brings both a raisiny essence and austere acidity that causes tartness. For basic Priorat, this is fine. But if you're looking for greatness, there isn't much to speak of. Overall, it's a good but regular wine, nothing more or less.",Red Blend,Spain,16.0,86
"Dusty in cocoa powder and leather, this is a dusty mountain of a Zin, from old Foothills vines. Soft and racy, enjoy with pizza or creamy lasagna.",Zinfandel,US,24.0,85
"There are some pleasant gamy tones to the plum and cherry fruit on the nose of this wine, with decadent touches of white chocolate and peach pit. Zippy acidity picks up the palate, finishing fresh and easy.",Rosé,France,10.0,85
"Here's a delicious Gavi with aromas of white flowers, peach and tropical fruit. The palate delivers citrus and lime flavors along with a hint of pineapple and crisp, quenching acidity. Perfect for seafood. Saranty Imports, Pleasure Elite.",Cortese,Italy,21.0,88
"Savory complexities of bramble, herb, bell pepper and leather highlight the duality of this luscious, deeply fruity Cabernet Franc. While plump and full bodied, it's structured with taut acidity and a frame of delicate, finely textured tannins.",Cabernet Franc,US,29.0,90
"Slightly over the top and disjointed, the sweet honey, butterscotch, toast and baked Golden Delicious aromas and flavors at war with powerful acids. The elements are all here, just not working together.",Chardonnay,Australia,17.0,83
"A nice Syrah, rich in berries, licorice, Dr. Pepper cola and spices, with soft, luxurious tannins. It's a little uncomplicated and sweet, but easy to drink now.",Syrah,US,34.0,86
"Expensive, yes, but a very fine Pinot that shows the elegance of its Santa Barbara origins. Dry and crisp in acidity, it's extraordinarily deep in raspberry, cherry and currant fruit, with interesting notes of sautéed beef, cola, vanilla, baking spices and sandalwood. Drink now–2015 to enjoy its fruitiness.",Pinot Noir,US,60.0,93
"An intense pepper and spice-influenced wine from the Gebling Vineyard above Krems. It is rich, weighty and intense, with the spirited acidity lending a refreshing edge. For aging over several years. Screwcap.",Riesling,Austria,45.0,90
"Bold flavors and plenty of creamy texture make this full-bodied wine seem big and mouth-filling. It offers nice lemon and butter aromas, ripe pear and spicy nutmeg flavors along with a smoky overtone that lasts from the aroma to the finish.",Chardonnay,US,20.0,88
"A nice Merlot whose rich tannins and elegance mark its Napa origins. Although it finishes dry, it fills the mouth with ripe, sweet cherry, red currant, toast and caramel flavors. Needs lots of breathing to let it mellow.",Merlot,US,40.0,90
"This is top-notch Argentine Cabernet Franc. Savory, exotic, oaky blueberry and blackberry aromas set up a bold palate with ample acidity and modest tannins. Berry flavors and oak spice are the key flavors, while a buttery oak note and a pinch of salt rise up on the finish. Drink now through 2018.",Cabernet Franc,Argentina,110.0,92
"This fresh and enjoyable wine has a bright bouquet of red berry and spice. The palate shows ripe black-cherry, nutmeg and chocolate flavors. This would pair well with pasta in meat sauce.",Red Blend,Italy,19.0,87
"Executed by vintner Claudia Ferrero, this remarkable Brunello Riserva shows enormous intensity and staying power. The wine's genuine aromas include wet earth, dried forest berry, leather, pipe tobacco and smoked bacon. The mouthfeel is rich and determined with polished tannins.",Sangiovese Grosso,Italy,70.0,92
"Tart berry and sour cherry fruit is set amidst a well-balanced, pure varietal expression of Cab Franc. A touch of stem, earth and coffee carry out the varietal flavors, with a firmness to the tannins.",Cabernet Franc,Canada,35.0,91
"This is spicy and soupy smelling, but in a good, savory way. The mouthfeel is creamy and chewy, with plenty of extract and soft tannins. It tastes herbal and a touch foxy, with spice and berry flavors that lead to a sizable, chocolaty finish that's weighty and round.",Carmenère,Chile,20.0,89
"Attractive fern and pine aromas mix with scents of green melon and cactus to create a very likable, true-to-Casablanca bouquet. The palate is agile and balanced, with lively green apple, pineapple and grapefruit flavors. With some tang and kick to the mouthfeel and finish, this sophisticated white ranks up there in terms of value for money.",Sauvignon Blanc,Chile,14.0,89
"Extremely fresh and lively aromas of soft strawberry and lime pith combine to make a very racy edge to the nose of this bottling from the pioneering property, which was founded as a bubbly house in the early 1980s. There is great energy to the sip, where somewhat sour flavors of Ruby Red grapefruit rind give the wine lots of acidic length.",Sparkling Blend,US,34.0,90
"A pretty pale peach color, the strawberry aromas are quite light while the flavors are tart and spritely. It piques the interest.",Rosé,US,17.0,87
"White grapefruit, peach and blossom notes are perfumed and pretty on this dry, full-bodied Riesling. The palate feels weighty and ripe, but bright, with flavors of quince jelly and yellow plum, along with a zesty, focused minerality that carries from start to finish.",Riesling,Germany,51.0,90
"This golden-colored wine conveys intense aromas of white rose petals and exotic spice. The rich palate offers dried apricot, candied ginger, nectarine zest and sage. An energizing shot of graphite marks the finish.",Traminer,Italy,12.0,88
"Lutum is a project from Santa Barbara vintner Gavin Chanin. The brand sources fruit from well-known vineyards, in this case Rinconada, situated in a favorable terroir in the southern part of the appellation. The wine is quite pale and the alcohol level is low, giving it great delicacy. But it's potent in raspberry, red currant, spicy red licorice and softened cola flavors. Delicious now, it will age well until at least 2022.",Pinot Noir,US,50.0,92
"Herb and candied plum aromas and flavors ride a rather light texture in this medium-bodied, fruity and slightly oaky wine.",Cabernet Sauvignon,US,15.0,85
"Smooth and rich, this wine is made from fruit that's sourced from 65-year-old vines. It has fresh acidity that gives a bright quality to the ripe fruit. For an entry-level Bourgogne, this has complexity and weight.",Chardonnay,France,22.0,88
"Though labeled simply Columbia Valley, this is a classic example of Wahluke Slope Syrah. Well-integrated layers of citrus, berry, roasted coffee beans, vanilla cookie and Graham cracker combine into a most accessible, yet complex wine. It's ready to drink, and should be consumed over the next 3–4 years.",Syrah,US,17.0,90
"Attractive and fruity, this warm wine is crisp and fresh at the same time. Yellow fruits and tangy orange zest are complemented by minerality and a refreshing aftertaste. It is ready to drink.",Chardonnay,France,16.0,87
"Fairly crisp red fruit aromas suggest plum, red flower and wood resin on the nose. This is a full bodied wine with plenty of oak. Flavors of berry fruit finish with lasting sweetness and an herbal character.",Carmenère,Chile,14.0,87
"Part of the Thienot Champagne group, Canard-Dûchene is only now getting distribution in this country. This top Blanc de Blancs is rich, full-bodied with some softness, but also retaining a good mineral, tight texture.",Chardonnay,France,60.0,87
"Dry, medium-bodied and tart in acidity, the wine holds raspberry and pomegranate fruit flavors that have an earthiness suggesting dried sage. Doesn't seem like an ager.",Pinot Noir,US,50.0,87
"This wine's strawberry and raspberry flavors carry a slightly funky bouquet, but call it a feature, not a flaw. It has salted caramel notes from aging for nine months in 30% new French oak, and it's creamy and focused on the palate, finishing on a hint of cola.",Pinot Noir,US,46.0,90
"With its well-integrated scents of cedar, plum and tobacco, this is a medium-weight wine whose hallmark is its balance. Vanilla and dried spices meld nicely with cherry and plum fruit, finishing smooth, with modest tannins. Drink now-2008.",Portuguese Red,Portugal,14.0,87
"A whiff of salted caramel endows the nose with an appetizing idea of toffee apple. The frothy palate is lively and shows off ripe, fruity apple notes of Red Delicous and shortcrust pastry. Crispness is countered by richer, playful fruit that anchors notes of biscuit and yeast. The finish is sustained.",Sparkling Blend,England,60.0,90
"Big, spicy wine with its dark tannins and black fruit. Dark chocolate flavors go with the fruit, a rich and complex array of flavors that bring in herbs and spices as well as wood. Age for another 1–2 years.",Rhône-style Red Blend,France,60.0,90
"Layered fruit and spice flavors plus a firm, dry texture will make this medium-bodied wine a good pairing for all kinds of big proteins. It has black cherry and plum aromas, firm, fine-grained tannins and a lip-smacking finish.",Cabernet Sauvignon,US,23.0,89
"You'll find scents of red berry, chopped herb, clove and a balsamic note on this fragrant Nebbiolo, Vespolina and Croatina blend. The luminous palate delivers ripe cherry, juicy strawberry, white pepper, and menthol underscored by a mineral vein. It's elegant and intense but still austere at this stage, with a firm tannic backbone. Drink 2018–2031.",Red Blend,Italy,55.0,93
"This is a soft, simple wine, that's ripe with orange, green apple, pear and lime flavors. Honeyed on the finish, it tastes like it has some residual sugar.",Pinot Grigio,US,12.0,83
"Obviously rich and dense, this wine is also smooth and elegant thanks to its soft tannic character, never too dry and even now drinkable. Berry fruits and a generous structure allow the wine to be approachable. Drink from 2016.",Touriga Nacional,Portugal,40.0,90
"This wine is expressive, with aromas of violet, herb and purple fruit. The palate is lighter styled and tart, delivering a bit more tannic heft than this variety often shows. Give it some time to open up.",Syrah,US,20.0,90
"Red cherry, red currant, mushroom and sandalwood flavors mark this appealing wine. Bone dry, with good acidity, it's a fine wine to drink now, but it should also age for quite some time, without necessarily gaining in complexity.",Pinot Noir,US,37.0,87
"This terrific Rosato represents a dynamic blend of Pinot Nero, Lagrein, Cabernet Sauvignon and Merlot. It opens with a bright pink color, a dry mouthfeel and spicy after notes of dried raspberry, cherry and cinnamon stick.",Rosato,Italy,18.0,87
"Clean, bright and simple, this would taste great on a hot summer afternoon by the pool. Citrus, stone fruit and crushed white-pepper notes emerge on the finish.",Glera,Italy,16.0,86
"The Pio Cesare starts well; a fat opulent nose of rich fruit mixed with a strong mocha character. It is also big on the palate; plummy and powerful, with good acidity. Towards the end, however, the wine runs out of steam, and it finishes somewhat abruptly and with a slight sourness.",Barbera,Italy,39.0,85
"Spicy, minty aromas and rich flavors like dark chocolate and black cherries add up to a bold, full-bodied wine from the Lange Twins. It has a deep color, moderate tannins to add grip to the texture and a lingering finish.",Merlot,US,12.0,88
"This old-vine wine contains 12% Carignane and 8% Petite Sirah, and is one of the larger of the producer's single-vineyard offerings. Feral black fruit and fig form a core of concentrated richness before red-berry pie and vanilla come into play, finishing with a blur of toasty oak.",Zinfandel,US,37.0,89
"Lightly pickled citrus aromas include a note of pyrazines. Direct on the palate, with a reasonably good mouthfeel, this delivers short flavors of stone fruits in front of a finish that's mildly pithy and bitter.",Rosado,Spain,12.0,86
"This is a dense wine, rather rough round the edges with some firm, tough tannins and bitter extraction. It does have good fruit weight underneath, suggesting that its black currant flavors will emerge. Drink from 2017.",Bordeaux-style Red Blend,France,25.0,86
"This late-harvest wine was frozen cryogenically and aged in neutral casks prior to bottling. It's mid-level sweet, with much higher alcohol than most such efforts. Candied pears come to mind, with residual phenolic bitterness in the finish.",Pinot Blanc,US,28.0,86
"A simple, fruity wine, this has light acidity and a touch of pepper at the end. It is a classic apéritif style of rosé.",Rosé,France,13.0,87
"This wine does a nice job balancing its tropical fruit aromas and flavors with leafy, green notes. Ripe nectarine and grapefruit lie at the core, while herbal flourishes garnish the nose and finish.",Sauvignon Blanc,New Zealand,15.0,90
"The Torrontes character shows on the nose, meaning there's detectable lychee and orange blossom scents. The dowside is that the palate is rather thick and honeyed but devoid of flavor. Seems to be fading into the night.",White Blend,Argentina,10.0,83
"With off-dry flavors of ripe lemons, limes and vanilla, accented with brisk acidity, this simple wine will pair well with sweet Chinese and Vietnamese foods, and the price is right.",Sauvignon Blanc,US,12.0,84
"This simple red leads with baking spice, underbrush and red-skinned berry aromas. The palate delivers orange peel, black cherry and clove flavors, with round tannins. Drink soon.",Dolcetto,Italy,16.0,86
"This concentrated wine offers warm-climate aromas of stewed plum and scorched earth. The dense palate offers prune, baked black cherry, nutmeg and clove alongside velvety tannins. It's already accessible so drink soon to capture the remaining fruit flavors.",Sangiovese,Italy,52.0,87
"This is a sumptuous, delicious Syrah, marked by very ripe fruit, but also by a wonderfully complex balance. Fully dry, it's packed with blackberry pie filling, cola, licorice, mushu plum sauce, mocha and pepper flavors, with a distinct note of grilled meat. Drink through 2010 for its youthful beauty.",Syrah,US,34.0,93
"Quite a bit lighter than the 2014 vintage, this wine layers buttery aromas over crisp apple and lemon flavors. It's pleasant and light in body, showing more richness than expected from its lively fruit components. Labeled as Pinot Noir, this is actually a white wine made from the dark grapes.",Pinot Noir,US,20.0,88
"Hints of garrigue herbs and bramble add depth to the bright red-berry and strawberry aromas on the nose of this wine. Juicy fruit flavors continue on to the balanced and accessible palate, alongside soft tannins and a clean, mouthwatering finish.",Rhône-style Red Blend,France,24.0,86
"Plump yet bright with fruit, suave yet spicy with herbs and gamy elements, this bottling shows candied cherry and cranberry alongside sage, eucalyptus and slight barnyard notes. The same juicy red fruit immediately elevates the palate, which is then leveled by lively Mediterranean spice and a buoyant acidity.",Pinot Noir,US,50.0,95
"Ripe berry, raisin, prune, chocolate and cool earth aromas make for a fine nose. This is full and rich, a bit chunky, but not too heavy. Flavors of coconut are backed by blackberry fruit; on the finish, that oaky coconut character transitions to vanilla. Drink through 2022.",Syrah,Chile,125.0,92
"Touched by caramel, this is a bone-dry rosé, very crisp and fruity, with raspberry, red cherry.",Rosé,Austria,14.0,86
"This blend, dominated by Sémillon and Sauvignon Gris, gives a rich, perfumed and ripe-tasting wine. Acidity balances its full apricot and pear fruit flavors. With its creamy texture, it's ready to drink.",Bordeaux-style White Blend,France,13.0,86
"The wine has the lightness of the vintage. It has spice, red-currant fruits and hints of not-quite-ripe grapes. The wine is developing fast and will be ready from 2017.",Bordeaux-style Red Blend,France,15.0,84
